rule,osc,period,min_heat,max_heat,avg_heat,rotor,stator,active,non_trivial,volatility,strict_volatility
B3/S238,3ob3o$o5bo$2bobo$b2ob2o$o5bo!,14,6,18,10.3,50,0,50,true,1,0.88
B345/S5,6b2o2$4b2o2b2o2$2b4o2b4o2$3o3b3o3b2o2$b2o3b4o3b3o2$3b3o4b5o2$5b8o2$7b4o!,54,103,123,112.1,142,0,142,true,1,0.58
B3/S238,11b2o11b2o$11b2o11b2o3$6bo23bo$5bobo5bo9bo5bobo$4bo2bo5bob2o3b2obo5bo2bo$5b2o10bobo10b2o$15bobobobo$16bo3bo2$2o33b2o$2o33b2o$5b2o23b2o2$6bobo19bobo$6bo2bo17bo2bo$7b2o19b2o2$7b2o19b2o$6bo2bo17bo2bo$6bobo19bobo2$5b2o23b2o$2o33b2o$2o33b2o2$16bo3bo$15bobobobo$5b2o10bobo10b2o$4bo2bo5bob2o3b2obo5bo2bo$5bobo5bo9bo5bobo$6bo23bo3$11b2o11b2o$11b2o11b2o!,37,24,232,94.3,680,44,724,true,0.94,0.94
B3/S4567,2bo$2b4o$2ob5o$b3ob2o$2b6o7bo$b2obob3o4b2o$b6o5b3o$2b2ob3o4b2o$b5o$2b3obo$2bo!,26,13,22,18.0,42,43,85,false,0.49,0
B0138/S0125,3bobo2$4bo$o$2bo$o!,16,15,28,19.5,47,0,47,true,1,0.85
